backend,specimen,anatomy,method,condition,level,draw,retention,virtual_target_rms_displacement_mm,registration_recall,rotation_error_deg,translation_error_mm,registration_only_seconds,fitness,error
,specimen01,fibula,raw,5deg_5mm,1,4,,0.687343763992824,1.0,1.1796839026221375,0.5813236577193016,0.1708807309914846,0.8391666666666666,
,specimen01,fibula,raw,10deg_10mm,2,0,,0.6867794207588513,1.0,1.1751001362733626,0.6583901197730571,0.1611022500146646,0.8391666666666666,
,specimen01,fibula,raw,10deg_10mm,2,1,,0.6873374565943958,1.0,1.1796536836081724,0.429061853375954,0.17088224599137902,0.8391666666666666,
,specimen01,fibula,raw,10deg_10mm,2,2,,0.6873374565962055,1.0,1.1796536836205316,0.579620302048715,0.1679644690011628,0.8391666666666666,
,specimen01,fibula,raw,10deg_10mm,2,3,,0.686767190754779,1.0,1.1746962979945235,0.5119404494316275,0.17316428001504391,0.8391666666666666,
,specimen01,fibula,raw,10deg_10mm,2,4,,0.6873374565944692,1.0,1.1796536836094083,0.5977774962241484,0.16787920900969766,0.8391666666666666,
,specimen01,fibula,raw,20deg_20mm,3,0,,0.6867671907547885,1.0,1.1746962979914206,0.8132369877665031,0.17433294199872762,0.8391666666666666,
,specimen01,fibula,raw,20deg_20mm,3,1,,0.6873437639928064,1.0,1.1796839026239914,0.7900305259563549,0.17268161798710935,0.8391666666666666,
,specimen01,fibula,raw,20deg_20mm,3,2,,0.6873374565962119,1.0,1.1796536836199136,0.7301466168550376,0.1675092610239517,0.8391666666666666,
,specimen01,fibula,raw,20deg_20mm,3,3,,0.6873437639928173,1.0,1.1796839026239914,0.3466881168901103,0.16992220300016925,0.8391666666666666,
